Zip Code,City,County,Latitude,Longitude
07849,Lake Hopatcong,Morris,40.963959,-74.61414
07850,Landing,Morris,40.908198,-74.65749
07851,Layton,Sussex,41.172968,-74.88301
07852,Ledgewood,Morris,40.876349,-74.65769
07853,Long Valley,Morris,40.788599,-74.78295
07855,Middleville,Sussex,41.12831,-74.678956
07856,Mount Arlington,Morris,40.919498,-74.63559
07857,Netcong,Morris,40.897398,-74.70301
07860,Newton,Sussex,41.0714,-74.80199
07863,Oxford,Warren,40.815107,-74.96802
07865,Port Murray,Warren,40.783175,-74.90934
07866,Rockaway,Morris,40.926798,-74.50624
07869,Randolph,Morris,40.847649,-74.5748
07870,Schooleys Mountain,Morris,40.810362,-74.819318
07871,Sparta,Sussex,41.035384,-74.63557
07874,Stanhope,Sussex,40.917054,-74.71053
07875,Stillwater,Sussex,41.043858,-74.871981
07876,Succasunna,Morris,40.855549,-74.65251
07877,Swartswood,Sussex,41.10289,-74.850759
07878,Mount Tabor,Morris,40.872866,-74.47843
07879,Tranquility,Sussex,40.955934,-74.788108
07880,Vienna,Warren,40.864844,-74.897002
07881,Wallpack Center,Sussex,41.125646,-74.917711
07882,Washington,Warren,40.753753,-74.99617
07885,Wharton,Morris,40.913298,-74.58246
07890,Branchville,Sussex,41.12831,-74.678956
07901,Summit,Union,40.714501,-74.3633
07902,Summit,Union,40.665651,-74.299692
07920,Basking Ridge,Somerset,40.6789,-74.57039
07921,Bedminster,Somerset,40.652301,-74.653
07922,Berkeley Heights,Union,40.675112,-74.43459
07924,Bernardsville,Somerset,40.72344,-74.57753
07926,Brookside,Morris,40.800353,-74.571785
07927,Cedar Knolls,Morris,40.821149,-74.45121
07928,Chatham,Morris,40.7332,-74.39736
07930,Chester,Morris,40.786549,-74.68799
07931,Far Hills,Somerset,40.696601,-74.63781
07932,Florham Park,Morris,40.77835,-74.39009
07933,Gillette,Morris,40.683934,-74.47079
07934,Gladstone,Somerset,40.72265,-74.67432
07935,Green Village,Morris,40.739333,-74.45631
07936,East Hanover,Morris,40.820012,-74.36474
07938,Liberty Corner,Somerset,40.655399,-74.586151
07939,Lyons,Somerset,40.566553,-74.599801
07940,Madison,Morris,40.75875,-74.41609
07945,Mendham,Morris,40.782767,-74.59529
07946,Millington,Morris,40.672823,-74.52011
07950,Greystone Park,Morris,40.842399,-74.48223
07950,Morris Plains,Morris,40.842399,-74.48223
07960,Morristown,Morris,40.79215,-74.48559
07961,Morristown,Morris,40.77975,-74.442797
07962,Morristown,Morris,40.867331,-74.578269
07963,Morristown,Morris,40.867331,-74.578269
07970,Mount Freedom,Morris,40.813281,-74.57267
07974,New Providence,Union,40.698268,-74.40225
07976,New Vernon,Morris,40.733739,-74.48851
07977,Peapack,Somerset,40.707505,-74.65657
07978,Pluckemin,Somerset,40.642491,-74.639597
07979,Pottersville,Hunterdon,40.713675,-74.72465
07980,Stirling,Morris,40.672968,-74.49171
07981,Whippany,Morris,40.821482,-74.42648
07983,Whippany,Morris,40.867331,-74.578269
07999,Whippany,Morris,40.867331,-74.578269
08001,Alloway,Salem,39.559426,-75.3631
08002,Cherry Hill,Camden,39.932279,-75.02266
08003,Cherry Hill,Camden,39.879713,-74.9719
08004,Atco,Camden,39.769357,-74.87264
08005,Barnegat,Ocean,39.759581,-74.27398
08006,Barnegat Light,Ocean,39.75196,-74.11074
08007,Barrington,Camden,39.868013,-75.05424
08008,Beach Haven,Ocean,39.614596,-74.2005
08009,Berlin,Camden,39.779582,-74.9365
08010,Beverly,Burlington,40.058211,-74.91404
08011,Birmingham,Burlington,39.978635,-74.71323
08012,Blackwood,Camden,39.784614,-75.05678
08014,Bridgeport,Gloucester,39.803646,-75.34421
08015,Browns Mills,Burlington,39.960596,-74.5606
08016,Burlington,Burlington,40.06834,-74.84463
08018,Cedar Brook,Camden,39.80237,-74.938259
08019,Chatsworth,Burlington,39.777314,-74.5354
08020,Clarksboro,Gloucester,39.800958,-75.2211
08021,Clementon,Camden,39.810485,-74.99574
08022,Columbus,Burlington,40.079952,-74.70684
08023,Deepwater,Salem,39.683577,-75.48932
08025,Ewan,Gloucester,39.701526,-75.162903
08026,Gibbsboro,Camden,39.833847,-74.96899
08027,Gibbstown,Gloucester,39.824159,-75.28187
08028,Glassboro,Gloucester,39.700008,-75.11951
08029,Glendora,Camden,39.840463,-75.0687
08030,Gloucester City,Camden,39.891113,-75.11836
08031,Bellmawr,Camden,39.867013,-75.09162
08032,Grenloch,Gloucester,39.781264,-75.0609
08033,Haddonfield,Camden,39.895213,-75.04019
08034,Cherry Hill,Camden,39.908613,-74.99951
08035,Haddon Heights,Camden,39.87913,-75.06599
08036,Hainesport,Burlington,39.985662,-74.83044
08037,Hammonton,Atlantic,39.625291,-74.77705
08038,Hancocks Bridge,Salem,39.481009,-75.50618
08039,Harrisonville,Gloucester,39.685445,-75.2669
08041,Jobstown,Burlington,40.038339,-74.6806
08042,Juliustown,Burlington,40.018503,-74.66656
08043,Voorhees,Camden,39.851969,-74.96128
08045,Lawnside,Camden,39.866513,-75.03197
08046,Willingboro,Burlington,40.029011,-74.88257
08048,Lumberton,Burlington,39.967013,-74.80666
08049,Magnolia,Camden,39.85478,-75.03671
08050,Manahawkin,Ocean,39.707575,-74.25933
08051,Mantua,Gloucester,39.785785,-75.17761
08052,Maple Shade,Burlington,39.952212,-74.99464
08053,Marlton,Burlington,39.88488,-74.90416
08054,Mount Laurel,Burlington,39.949446,-74.90342
08055,Medford,Burlington,39.865272,-74.8185
08056,Mickleton,Gloucester,39.785219,-75.25304
08057,Moorestown,Burlington,39.968962,-74.9489
08059,Mount Ephraim,Camden,39.884263,-75.0923
08060,Mount Holly,Burlington,39.991562,-74.79747
08061,Mount Royal,Gloucester,39.807684,-75.20496
08062,Mullica Hill,Gloucester,39.716938999999996,-75.21987
08063,National Park,Gloucester,39.867158,-75.1802
08064,New Lisbon,Burlington,39.961921,-74.63687
08065,Palmyra,Burlington,40.00278,-75.02626
08066,Paulsboro,Gloucester,39.833156,-75.23773
08067,Pedricktown,Salem,39.740353,-75.41262
08068,Pemberton,Burlington,39.961183,-74.66266
08069,Penns Grove,Salem,39.712593,-75.46906
08070,Pennsville,Salem,39.645377,-75.51923
08071,Pitman,Gloucester,39.730964,-75.13009
08072,Quinton,Salem,39.546172,-75.41367
08073,Rancocas,Burlington,40.010461,-74.86762
08074,Richwood,Gloucester,39.716194,-75.17326
08075,Riverside,Burlington,40.029361,-74.9541
08076,Riverton,Burlington,39.862433,-74.725079
08077,Riverton,Burlington,39.997379,-74.99805
08078,Runnemede,Camden,39.850013,-75.0767
08079,Salem,Salem,39.549912,-75.43943
08080,Sewell,Gloucester,39.74953,-75.10637
08081,Sicklerville,Camden,39.741385,-74.99035
08083,Somerdale,Camden,39.842613,-75.02496
08084,Stratford,Camden,39.829014,-75.01371
08085,Swedesboro,Gloucester,39.753088,-75.32687
08086,Thorofare,Gloucester,39.849156,-75.18159
08087,Tuckerton,Ocean,39.59899,-74.36573
08088,Vincentown,Burlington,39.871699,-74.70528
08089,Waterford Works,Camden,39.722622,-74.8503
08090,Wenonah,Gloucester,39.799347,-75.15202
08091,West Berlin,Camden,39.807695,-74.93392
08092,West Creek,Ocean,39.658781,-74.28673
08093,Westville,Gloucester,39.861413,-75.13284
08094,Williamstown,Gloucester,39.647598,-74.95927
08095,Winslow,Camden,39.656976,-74.86043
08096,Deptford,Gloucester,39.830313,-75.13221
08096,Woodbury,Gloucester,39.830313,-75.13221
08097,Woodbury Heights,Gloucester,39.816063,-75.15321
08098,Woodstown,Salem,39.637838,-75.32396
08099,Bellmawr,Camden,39.779179,-74.962071
08101,Camden,Camden,39.80237,-74.938259
08102,Camden,Camden,39.949579,-75.118
08103,Camden,Camden,39.936179,-75.11513
08104,Camden,Camden,39.918663,-75.10976
08104,Haddon Township,Camden,39.918663,-75.10976
08105,Camden,Camden,39.949812,-75.08616
08106,Audubon,Camden,39.892213,-75.07212
08107,Haddon Township,Camden,39.908163,-75.08618
08107,Oaklyn,Camden,39.908163,-75.08618
08108,Collingswood,Camden,39.915263,-75.06401
08108,Haddon Township,Camden,39.915263,-75.06401
08109,Merchantville,Camden,39.949979,-75.05024
08110,Pennsauken,Camden,39.966812,-75.05681
08201,Absecon,Atlantic,39.457517,-74.50914
08202,Avalon,Cape May,39.092928,-74.72688
08203,Brigantine,Atlantic,39.401801,-74.38017
08204,Cape May,Cape May,38.963652,-74.92319
08205,Absecon,Atlantic,39.471263,-74.502457
08210,Cape May Court House,Cape May,39.081754,-74.83658
08212,Cape May Point,Cape May,38.936896,-74.96526
08213,Cologne,Atlantic,39.509208,-74.608557
08214,Dennisville,Cape May,39.056521,-74.816619
08215,Egg Harbor City,Atlantic,39.548049,-74.62171
08217,Elwood,Atlantic,39.575273,-74.72103
08218,Goshen,Cape May,39.056521,-74.816619
08219,Green Creek,Cape May,39.056521,-74.816619
08220,Leeds Point,Atlantic,39.509208,-74.608557
08221,Linwood,Atlantic,39.348616,-74.57387
08223,Marmora,Cape May,39.264412,-74.64986
08224,New Gretna,Burlington,39.595957,-74.45628
08225,Northfield,Atlantic,39.370083,-74.55211
08226,Ocean City,Cape May,39.265371,-74.59381
08230,Ocean View,Cape May,39.20877,-74.70438
08231,Oceanville,Atlantic,39.509208,-74.608557
08232,Pleasantville,Atlantic,39.394616,-74.52212
08234,Egg Harbor Township,Atlantic,39.398172,-74.59667
08240,Pomona,Atlantic,39.487717,-74.554334
08241,Port Republic,Atlantic,39.527903,-74.4917
08242,Rio Grande,Cape May,39.017837,-74.87515
08243,Sea Isle City,Cape May,39.145755,-74.69865
08244,Somers Point,Atlantic,39.319901,-74.5999
08245,South Dennis,Cape May,39.176208,-74.81723
08246,South Seaville,Cape May,39.056521,-74.816619
08247,Stone Harbor,Cape May,39.051289,-74.76204
08248,Strathmere,Cape May,39.197394,-74.65699
08250,Tuckahoe,Cape May,39.056521,-74.816619
08251,Villas,Cape May,39.022256,-74.93616
08252,Whitesboro,Cape May,39.037404,-74.85749
08260,Wildwood,Cape May,38.987556,-74.822
08270,Woodbine,Cape May,39.275059,-74.80041
08302,Bridgeton,Cumberland,39.445164,-75.24215
08310,Buena,Atlantic,39.522686,-74.89684
08311,Cedarville,Cumberland,39.337205,-75.18577
08312,Clayton,Gloucester,39.655964,-75.08736
08313,Deerfield Street,Cumberland,39.530314,-75.22901
