Zip Code,City,County
8801,Annandale,Hunterdon
8802,Asbury,Hunterdon
8803,Baptistown,Hunterdon
8804,Bloomsbury,Hunterdon
8805,Bound Brook,Somerset
8807,Bridgewater,Somerset
8808,Broadway,Warren
8809,Clinton,Hunterdon
8810,Dayton,Middlesex
8812,Dunellen,Middlesex
8816,East Brunswick,Middlesex
8817,Edison,Middlesex
8818,Edison,Middlesex
8820,Edison,Middlesex
8821,Flagtown,Somerset
8822,Flemington,Hunterdon
8823,Franklin Park,Somerset
8824,Kendall Park,Middlesex
8825,Frenchtown,Hunterdon
8826,Glen Gardner,Hunterdon
8827,Hampton,Hunterdon
8828,Helmetta,Middlesex
8829,High Bridge,Hunterdon
8830,Iselin,Middlesex
8831,Monroe Township,Middlesex
8832,Keasbey,Middlesex
8833,Lebanon,Hunterdon
8834,Little York,Hunterdon
8835,Manville,Somerset
8836,Martinsville,Somerset
8837,Edison,Middlesex
8840,Metuchen,Middlesex
8844,Hillsborough,Somerset
8846,Middlesex,Middlesex
8848,Milford,Hunterdon
8850,Milltown,Middlesex
8852,Monmouth Junction,Middlesex
8853,Neshanic Station,Somerset
8854,Piscataway,Middlesex
8855,Piscataway,Middlesex
8857,Old Bridge,Middlesex
8858,Oldwick,Hunterdon
8859,Parlin,Middlesex
8861,Perth Amboy,Middlesex
8862,Perth Amboy,Middlesex
8863,Fords,Middlesex
8865,Phillipsburg,Warren
8867,Pittstown,Hunterdon
8868,Quakertown,Hunterdon
8869,Raritan,Somerset
8870,Readington,Hunterdon
8871,Sayreville,Middlesex
8872,Sayreville,Middlesex
8873,Somerset,Somerset
8875,Somerset,Somerset
8876,Somerville,Somerset
8879,South Amboy,Middlesex
8880,South Bound Brook,Somerset
8882,South River,Middlesex
8884,Spotswood,Middlesex
8885,Stanton,Hunterdon
8886,Stewartsville,Warren
8887,Three Bridges,Hunterdon
8888,Whitehouse,Hunterdon
8889,Whitehouse Station,Hunterdon
8890,Zarephath,Somerset
8896,Raritan,Somerset
8899,Edison,Middlesex
8901,New Brunswick,Middlesex
8902,North Brunswick,Middlesex
8903,New Brunswick,Middlesex
8904,Highland Park,Middlesex
8905,New Brunswick,Middlesex
8906,New Brunswick,Middlesex
8922,New Brunswick,Middlesex
8933,New Brunswick,Middlesex
8988,New Brunswick,Middlesex
8989,New Brunswick,Middlesex
